Ubat_W/m²_K;Complément_d'adresse_bâtiment;Méthode_application_DPE;N°_département_(BAN);Qualité_isolation_menuiseries;Nombre_appartement;Emission_GES_5_usages_énergie_n°2;Coordonnée_cartographique_X_(BAN);Date_fin_validité_DPE;Protection_solaire_exterieure_(0/1);Coût_total_5_usages;Conso_ECS_dépensier_é_primaire;Catégorie_ENR;Présence_brasseur_air_(0/1);Date_établissement_DPE;Score_BAN;Type_énergie_n°2;Conso_auxiliaires_é_primaire;N°_étage_appartement;N°_région_(BAN);Deperditions_planchers_hauts;Adresse_brute;Emission_GES_refroidissement_dépensier;Version_DPE;Deperditions_planchers_bas;Surface_tertiaire_immeuble;Coût_chauffage;_i;Qualité_isolation_plancher_bas;Déperditions_renouvellement_air;Surface_habitable_logement;Type_énergie_n°1;Conso_chauffage_é_finale;Besoin_refroidissement;Emission_GES_éclairage;Code_INSEE_(BAN);Conso_refroidissement_dépensier_é_primaire;Conso_ECS_dépensier_é_finale;Typologie_logement;_score;Classe_altitude;Coût_ECS;Conso_ECS_é_primaire;Nombre_niveau_logement;Adresse_(BAN);Emission_GES_ECS;Conso_chauffage_dépensier_é_finale;Date_visite_diagnostiqueur;Conso_refroidissement_é_finale;Déperditions_ponts_thermiques;Coordonnée_cartographique_Y_(BAN);Type_énergie_n°3;_geopoint;Emission_GES_5_usages_par_m²;Logement_traversant_(0/1);Conso_chauffage_é_primaire;Deperditions_enveloppe;Cage_d'escalier;Emission_GES_5_usages_énergie_n°1;Hauteur_sous-plafond;Inertie_lourde_(0/1);Qualité_isolation_enveloppe;Conso_éclairage_é_finale;Identifiant__BAN;Déperditions_portes;Coût_chauffage_dépensier;Emission_GES_auxiliaires;Statut_géocodage;Emission_GES_refroidissement;Position_logement_dans_immeuble;Coût_refroidissement;Conso_5_usages_é_primaire;Besoin_ECS;Coût_chauffage_énergie_n°1;Indicateur_confort_été;Conso_5_usages_é_finale_énergie_n°1;Code_postal_(BAN);Emission_GES_chauffage;Type_installation_chauffage;_id;Coût_ECS_dépensier;Surface_habitable_immeuble;Conso_éclairage_é_primaire;_rand;Nombre_niveau_immeuble;N°_DPE_remplacé;Conso_5_usages/m²_é_finale;Type_bâtiment;Conso_refroidissement_dépensier_é_finale;Nom_résidence;Date_réception_DPE;Qualité_isolation_plancher_haut_comble_aménagé;N°DPE;Type_énergie_principale_chauffage;Type_installation_ECS_(général);Isolation_toiture_(0/1);Conso_5_usages_é_finale;Conso_chauffage_dépensier_é_primaire;Coût_éclairage;Classe_inertie_bâtiment;Etiquette_GES;N°_voie_(BAN);Coût_ECS_énergie_n°1;Emission_GES_chauffage_dépensier;Coût_chauffage_énergie_n°2;Conso_auxiliaires_é_finale;Déperditions_murs;Deperditions_baies_vitrées;Qualité_isolation_murs;Etiquette_DPE;Emission_GES_5_usages;Emission_GES_5_usages_énergie_n°3;Conso_refroidissement_é_primaire;N°_DPE_immeuble_associé;Coût_ECS_énergie_n°2;Invariant_fiscal_logement;Code_postal_(brut);Zone_climatique_;Coût_ECS_énergie_n°3;Coût_chauffage_énergie_n°3;Conso_ECS_é_finale;Modèle_DPE;Coût_auxiliaires;Coût_refroidissement_dépensier;Nom__rue_(BAN);Nom__commune_(BAN);Emission_GES_ECS_dépensier;Conso_5_usages_par_m²_é_primaire;Besoin_chauffage;Appartement_non_visité_(0/1);Complément_d'adresse_logement
2.23;24-LAFAB-1273;dpe appartement individuel;69.0;bonne;1.0;;842564.11;19/08/2034;FAUX;1628.6;3373.6;;FAUX;20/08/2024;0.56;;0.0;0.0;84.0;0.0;9 Place Colbert;0.0;02/04/2024;0.0;;1302.1;161840;très bonne;42.8;36.2;Électricité;6118.6;0;4.7;69381.0;0.0;1890.5;;29.3162;inférieur à 400m;312.1;3373.6;1.0;9 Place Colbert 69001 Lyon;95.3;7338.4;13/08/2024;0.0;7.7;6520824.63;;45.77212604070082,4.8346500621543145;16.0;FAUX;14072.9;148.7;;583.4;3.8;FAUX;insuffisante;67.4;69381_1780_00009;7.1;1302.1;0.0;adresse géocodée ban à l'adresse;0.0;;0.0;17601.5;959,6;1302.1;insuffisant;7652.8;69001;483.4;individuel;1PzbcQVDdX7PNeTmnGTCs;312.1;;155.0;201175;;;211.0;appartement;0.0;;21/08/2024;;2469E2914770I;Électricité;individuel;FAUX;7652.8;14072.9;14.3;Moyenne;C;9;312.1;483.4;;0.0;83.7;7.4;insuffisante;G;583.4;;0.0;;;;69001;H1c;;;1466.8;DPE 3CL 2021 méthode logement;0.0;0.0;Place Colbert;Lyon;95.3;485.0;6881.2;;
0.42;CF244661MBD;dpe appartement individuel;69.0;bonne;1.0;;842766.32;02/07/2034;FAUX;661.3;3133.5;;FAUX;03/07/2024;0.63;;0.0;0.0;84.0;0.0;18 RUE ROYALE;0.0;02/04/2024;0.0;;309.1;162001;très bonne;24.7;28.2;Électricité;1241.3;0;3.6;69381.0;0.0;1743.3;;29.3162;inférieur à 400m;339.2;3133.5;1.0;18 Rue Royale 69001 Lyon;88.6;1583.0;03/07/2024;0.0;0.0;6520699.81;;45.770960021179455,4.8372139866834365;6.0;VRAI;2855.0;46.2;;190.2;2.5;FAUX;très bonne;52.4;69381_6180_00018;2.9;309.1;0.0;adresse géocodée ban à l'adresse;0.0;;0.0;6109.1;862,5;309.1;insuffisant;2656.1;69001;98.1;individuel;W1mTlAEC6jfNRHeJ7u_zs;339.2;;120.6;407007;;;94.0;appartement;0.0;;04/07/2024;;2469E2428984G;Électricité;individuel;FAUX;2656.1;2855.0;13.1;Légère;A;18;339.2;98.1;;0.0;11.1;7.5;bonne;D;190.2;;0.0;;;;69001;H1c;;;1362.4;DPE 3CL 2021 méthode logement;0.0;0.0;Rue Royale;Lyon;88.6;216.0;1338.3;;3EME ETAGE
1.66;657778;dpe appartement individuel;69.0;bonne;1.0;;842357.25;09/09/2034;FAUX;1934.2;4142.3;;FAUX;10/09/2024;0.6;;0.0;0.0;84.0;0.0;12 RUE DE LA PLATIERE;0.0;02/04/2024;0.0;;1534.3;162782;très bonne;47.3;54.8;Électricité;7299.3;0;7.0;69381.0;0.0;2312.4;;29.3162;inférieur à 400m;378.6;4142.3;1.0;12 Rue de la Platière 69001 Lyon;117.1;8933.9;10/09/2024;0.0;10.8;6520131.45;;45.76592895589821,4.831782045639018;12.0;VRAI;16788.5;176.4;;700.7;3.3;FAUX;insuffisante;102.0;69381_5595_00012;1.4;1534.3;0.0;adresse géocodée ban à l'adresse;0.0;;0.0;21165.3;1158,1;1534.3;insuffisant;9202.3;69001;576.6;individuel;VS-wB3RREjc4Gx15fmfPE;378.6;;234.5;300833;;;167.0;appartement;0.0;;11/09/2024;;2469E3152665D;Électricité;individuel;FAUX;9202.3;16788.5;21.4;Moyenne;C;12;378.6;576.6;;0.0;92.7;24.2;insuffisante;F;700.7;;0.0;;;;69001;H1c;;;1801.0;DPE 3CL 2021 méthode logement;0.0;0.0;Rue de la Platière;Lyon;117.1;386.0;7778.4;;2ÈM ÉTAGE Porte gauche
0.63;SCI 2B PATRIMOINE 0924-18 APPARTEMENT T2 1ER ETAGE;dpe appartement individuel;69.0;moyenne;1.0;;842052.59;09/09/2034;FAUX;1066.5;3900.5;;FAUX;10/09/2024;0.65;;387.0;0.0;84.0;0.0;12 Rue du Bon Pasteur;0.0;02/04/2024;0.0;;635.7;163041;très bonne;43.3;39.0;Électricité;2858.0;0;5.0;69381.0;0.0;2134.4;;29.3162;inférieur à 400m;377.2;3900.5;1.0;12 Rue du Bon Pasteur 69001 Lyon;110.2;3619.3;10/09/2024;0.0;7.5;6520808.76;;45.77208999200546,4.828064966861695;9.0;VRAI;6573.4;96.1;;351.8;2.7;FAUX;bonne;72.5;69381_0980_00012;1.3;635.7;10.8;adresse géocodée ban à l'adresse;0.0;;0.0;11027.7;992,9;635.7;insuffisant;4794.6;69001;225.8;individuel;rdHXJM8hgHSJZISFXVZTm;377.2;;166.8;143519;;;122.0;appartement;0.0;;11/09/2024;;2469E3161529B;Électricité;individuel;FAUX;4794.6;6573.4;16.1;Légère;B;12;377.2;225.8;;168.3;13.2;30.8;très bonne;E;351.8;;0.0;;;;69001;H1c;;;1695.9;DPE 3CL 2021 méthode logement;37.4;0.0;Rue du Bon Pasteur;Lyon;110.2;282.0;2979.3;;Etage : 1er
1.08;24_69001BANOS4065;dpe appartement individuel;69.0;insuffisante;1.0;;842608.0;22/07/2034;FAUX;645.5;2073.3;;FAUX;23/07/2024;0.66;;103.8;0.0;84.0;16.3;39 RUE BURDEAU;0.0;02/04/2024;0.0;;399.7;163211;très bonne;11.7;17.8;Électricité;1593.0;0;2.3;69381.0;0.0;1202.7;;29.3162;inférieur à 400m;226.2;2073.3;1.0;39 Rue Burdeau 69001 Lyon;58.6;1985.3;21/07/2024;0.0;0.0;6520662.02;;45.77065296749829,4.835166051126055;10.0;FAUX;3663.8;51.2;;189.6;2.5;FAUX;insuffisante;33.0;69381_1155_00039;1.0;399.7;2.9;adresse géocodée ban à l'adresse;0.0;;0.0;5917.0;736,8;399.7;insuffisant;2572.6;69001;125.8;individuel;sy6XZ8hXbbruDbg0oFJBF;226.2;;76.0;112227;;;144.0;appartement;0.0;;24/07/2024;;2469E2670033J;Électricité;individuel;FAUX;2572.6;3663.8;8.3;Légère;B;39;226.2;125.8;;45.1;14.7;7.4;insuffisante;E;189.6;;0.0;;;;69001;H1c;;;901.4;DPE 3CL 2021 méthode logement;11.3;0.0;Rue Burdeau;Lyon;58.6;332.0;1871.2;;Etage 6
1.54;2024-07-335 LOT 12;dpe appartement individuel;69.0;insuffisante;1.0;15.5;842006.45;20/07/2034;FAUX;1768.5;1681.2;;FAUX;21/07/2024;0.65;Électricité;420.7;0.0;84.0;24.9;11, RUE DU BON PASTEUR;0.0;02/04/2024;0.0;;1507.0;165992;très bonne;70.8;29.6;Gaz naturel;14168.7;0;3.8;69381.0;0.0;2115.2;;29.3162;inférieur à 400m;178.8;1681.2;1.0;11 Rue du Bon Pasteur 69001 Lyon;381.6;17010.0;18/07/2024;0.0;5.4;6520817.36;;45.77217702984132,4.8274739673344165;121.0;FAUX;14168.7;200.1;;3597.9;3.5;FAUX;insuffisante;55.1;69381_0980_00011;1.7;1507.0;11.7;adresse géocodée ban à l'adresse;0.0;;0.0;16397.4;880;1507.0;insuffisant;15849.9;69001;3216.3;individuel;K9_DoLPi0lhG0lH5n8zG0;178.8;;126.8;659346;;;542.0;appartement;0.0;;22/07/2024;;2469E2650004A;Gaz naturel;individuel;FAUX;16087.9;14168.7;19.1;Moyenne;G;11;178.8;3216.3;0.0;182.9;64.2;33.2;insuffisante;G;3613.4;;0.0;;0.0;;69001;H1c;;;1681.2;DPE 3CL 2021 méthode logement;63.5;0.0;Rue du Bon Pasteur;Lyon;381.6;553.0;9890.2;;Etage : 6ème
0.76;2024-06-277 0049-0001-0002_7722_2024.06.020;dpe appartement individuel;69.0;insuffisante;1.0;26.4;842702.81;29/06/2034;VRAI;1433.2;1826.7;;FAUX;30/06/2024;0.58;Électricité;701.0;0.0;84.0;4.8;13, RUE DU GRIFFON;0.0;02/04/2024;0.0;;1090.8;167434;très bonne;44.7;54.0;Gaz naturel;9877.3;0;6.9;69381.0;0.0;2395.1;;29.3162;inférieur à 400m;201.7;1826.7;1.0;13 Rue du Griffon 69001 Lyon;414.7;12047.1;19/06/2024;0.0;16.8;6520435.74;;45.768596045167065,4.8363179779665675;49.0;VRAI;9877.3;169.5;;2656.8;2.8;VRAI;moyenne;100.4;69381_3355_00013;1.5;1090.8;19.5;adresse géocodée ban à l'adresse;0.0;;0.0;12636.0;1152,5;1090.8;bon;11704.0;69001;2242.2;individuel;p31DsG7CO7VBJE_4wYBQg;201.7;;231.0;59162;;;224.0;appartement;0.0;;01/07/2024;;2469E2370942W;Gaz naturel;individuel;VRAI;12109.2;9877.3;34.9;Lourde;D;13;201.7;2242.2;0.0;304.8;60.2;41.5;insuffisante;D;2683.2;;0.0;;0.0;;69001;H1c;;;1826.7;DPE 3CL 2021 méthode logement;105.8;0.0;Rue du Griffon;Lyon;414.7;234.0;6603.2;;Etage : 5ème
0.95;002EW261369;dpe appartement généré à partir des données DPE immeuble;69.0;moyenne;22.0;53.5;841250.0;14/08/2034;;1000.8;2308.8;;;15/08/2024;0.97;Électricité;1532.4;0.0;84.0;79.4;8 Rue Pierre Dupont;0.0;02/04/2024;190.1;;502.1;167618;moyenne;960.5;84.7;Gaz naturel;4067.9;0;10.9;69381.0;0.0;2979.1;;29.3162;inférieur à 400m;284.9;2308.8;1.0;8 Rue Pierre Dupont 69001 Lyon;524.1;5169.9;15/08/2024;0.0;461.7;6520561.74;;45.77003302417714,4.817666987372647;17.0;;4067.9;2659.2;;1447.5;2.5;;insuffisante;157.4;69381_5480_00008;9.3;502.1;42.6;adresse non géocodée ban car aucune correspondance trouvée;0.0;;0.0;8271.2;28501,8;502.1;;6376.7;69001;923.4;individuel;2nzjoPQxBE9PKTEUgi1aM;284.9;1653.9;362.1;660916;5.0;;85.0;appartement;0.0;;16/08/2024;;2469E2896814S;Gaz naturel;individuel;;7200.4;4067.9;54.7;Lourde;C;8;284.9;923.4;0.0;666.3;247.0;711.2;bonne;C;1501.0;;0.0;2469E2895564Q;0.0;;69001;H1c;;;2308.8;DPE 3CL 2021 méthode logement;159.2;0.0;Rue Pierre Dupont;Lyon;524.1;97.0;79205.2;VRAI;1245-01-01-0016
1.93;345969;dpe appartement individuel;69.0;très bonne;1.0;25.2;842278.25;16/07/2034;FAUX;1581.6;1867.5;;FAUX;17/07/2024;0.61;Électricité;642.6;0.0;84.0;0.0;11 Rue d'Algérie;0.0;02/04/2024;0.0;;1245.3;169191;très bonne;54.4;56.7;Gaz naturel;11475.3;0;7.3;69381.0;0.0;2444.7;;29.3162;inférieur à 400m;202.7;1867.5;1.0;11 Rue d'Algérie 69001 Lyon;423.9;13866.0;16/07/2024;0.0;10.6;6520276.14;;45.76724801977417,4.830809037015423;53.0;VRAI;11475.3;171.1;;3028.8;3.2;FAUX;insuffisante;105.5;69381_0160_00011;0.0;1245.3;17.9;adresse géocodée ban à l'adresse;0.0;;0.0;14227.9;1170,8;1245.3;insuffisant;13342.8;69001;2604.9;individuel;S4obd1e6DoAFddKwt0Qrt;202.7;;242.6;905287;;;242.0;appartement;0.0;;18/07/2024;;2469E2608195Z;Gaz naturel;individuel;FAUX;13727.6;11475.3;36.6;Moyenne;E;11;202.7;2604.9;0.0;279.4;91.5;14.5;insuffisante;E;3054.0;;0.0;;0.0;;69001;H1c;;;1867.5;DPE 3CL 2021 méthode logement;97.0;0.0;Rue d'Algérie;Lyon;423.9;250.0;8022.6;;Etage 5
2.36;202421861;dpe appartement individuel;69.0;insuffisante;1.0;138.6;841533.4;29/07/2034;VRAI;1907.3;4180.6;;FAUX;30/07/2024;0.63;Électricité;393.6;0.0;84.0;0.0;50 Rue Pierre Dupont;0.0;02/04/2024;0.0;;1332.0;169808;très bonne;46.1;73.8;Gaz naturel;14080.3;0;9.5;69381.0;0.0;2385.5;;29.3162;inférieur à 400m;491.4;4180.6;1.0;50 Rue Pierre Dupont 69001 Lyon;118.1;17215.8;29/07/2024;0.0;12.9;6520714.67;;45.77135097687206,4.821357996251856;45.0;VRAI;14080.3;193.2;;3196.2;2.5;FAUX;insuffisante;137.2;69381_5480_00050;0.0;1332.0;11.0;adresse géocodée ban à l'adresse;0.0;;0.0;18969.9;1285,9;1332.0;moyen;14080.3;69001;3196.2;collectif;LhEQ4hnW1pq_n8HS2mz2V;491.4;811.0;315.5;681191;;;219.0;appartement;0.0;;31/07/2024;;2469E2758674Q;Gaz naturel;individuel;FAUX;16206.2;14080.3;37.1;Moyenne;D;50;0.0;3196.2;0.0;171.1;69.8;64.4;insuffisante;E;3334.8;;0.0;;491.4;;69001;H1c;;;1817.6;DPE 3CL 2021 méthode logement;46.8;0.0;Rue Pierre Dupont;Lyon;118.1;257.0;8129.8;;
1.94;2024-07-52998-GLH-Siège-Social-0220 Le Rozier;dpe appartement généré à partir des données DPE immeuble;69.0;insuffisante;5.0;57.1;842518.35;06/08/2034;;2850.1;1883.7;;;07/08/2024;0.53;Électricité;1663.6;0.0;84.0;29.4;"Résidence le Rozier (0220)
6 rue Rozier";0.0;02/04/2024;53.8;;2352.2;170339;insuffisante;345.6;84.0;Gaz naturel;23018.0;0;10.8;69381.0;0.0;2546.6;;29.3162;inférieur à 400m;192.5;1883.7;1.0;6 Rue de l'Abbé Rozier 69001 Lyon;427.6;27829.9;16/07/2024;0.0;151.4;6520532.2;;45.76950302259311,4.833974001398071;67.0;;23018.0;1674.7;;5652.7;2.9;;insuffisante;156.2;69381_6185_00006;30.8;2352.2;46.3;adresse géocodée ban à l'adresse;0.0;;0.0;26924.6;6775,5;2352.2;;24901.7;69001;5225.1;individuel;pNFtxzooqmxzKZAIypsvn;192.5;420.0;359.3;493159;5.0;;306.0;appartement;0.0;;08/08/2024;;2469E2850308A;Gaz naturel;individuel;;25781.2;23018.0;54.2;Légère;E;6;192.5;5225.1;0.0;723.3;935.7;128.1;insuffisante;E;5709.7;;0.0;2469E2850300S;0.0;;69001;H1c;;;1883.7;DPE 3CL 2021 méthode logement;251.1;0.0;Rue de l'Abbé Rozier;Lyon;427.6;320.0;79285.0;FAUX;0220.01.01.1001
1.61;187222;dpe appartement individuel;69.0;insuffisante;1.0;17.8;841923.57;30/07/2034;VRAI;1548.6;1765.4;;FAUX;31/07/2024;0.59;Électricité;416.6;0.0;84.0;69.6;19 Rue Rivet;0.0;02/04/2024;2.8;;1263.2;171772;insuffisante;62.4;48.0;Gaz naturel;11648.4;0;6.2;69381.0;0.0;2308.7;;29.3162;inférieur à 400m;191.5;1765.4;1.0;19 Rue Rivet 69001 Lyon;400.8;14113.4;31/07/2024;0.0;5.5;6520562.84;;45.7699029842521,4.826332025471657;63.0;FAUX;11648.4;194.7;;3044.9;2.3;FAUX;insuffisante;89.3;69381_6050_00019;1.2;1263.2;11.6;adresse géocodée ban à l'adresse;0.0;;0.0;14035.8;1101,5;1263.2;insuffisant;13413.8;69001;2644.2;individuel;yBAicBtQbiLfOzy5AFWC1;191.5;;205.4;594429;;;285.0;appartement;0.0;;01/08/2024;;2469E2784720K;Gaz naturel;individuel;FAUX;13684.2;11648.4;31.0;Moyenne;E;19;191.5;2644.2;0.0;181.1;34.9;18.4;insuffisante;E;3062.7;;0.0;;0.0;;69001;H1c;;;1765.4;DPE 3CL 2021 méthode logement;62.9;0.0;Rue Rivet;Lyon;400.8;292.0;8952.5;;Etage 1
0.16;DO7-011428724;dpe appartement individuel;69.0;moyenne;1.0;;841110.82;16/07/2034;FAUX;535.4;2588.3;;FAUX;17/07/2024;0.62;;169.9;0.0;84.0;3.6;1 Mnt de la Butte;0.0;02/04/2024;0.0;;200.2;177445;très bonne;12.7;25.6;Électricité;744.4;0;3.3;69381.0;0.0;1465.0;;29.3162;inférieur à 400m;302.6;2588.3;1.0;1 Montée de la Butte 69001 Lyon;73.1;966.0;09/07/2024;0.0;3.8;6520414.46;;45.768735968154104,4.81583301364651;5.0;FAUX;1712.2;30.5;;140.0;3.3;FAUX;très bonne;47.5;69381_1160_00001;3.9;200.2;4.7;adresse géocodée ban à l'adresse;0.0;;0.0;4579.7;830,7;200.2;insuffisant;1991.2;69001;58.8;individuel;yMd4p_86LJXwB7elomfph;302.6;;109.3;532248;;;77.0;appartement;0.0;;18/07/2024;très bonne;2469E2608456A;Électricité;individuel;FAUX;1991.2;1712.2;12.8;Moyenne;A;1;302.6;58.8;;73.9;3.3;3.3;très bonne;C;140.0;;0.0;;;;69001;H1c;;;1125.4;DPE 3CL 2021 méthode logement;19.9;0.0;Montée de la Butte;Lyon;73.1;179.0;778.7;;3ème étage
0.26;DO7-011743924;dpe appartement individuel;69.0;moyenne;1.0;;841933.44;09/09/2034;VRAI;836.3;3851.5;;FAUX;10/09/2024;0.61;;564.8;0.0;84.0;0.0;14 Rue de Flesselles;0.0;02/04/2024;0.0;;368.2;179041;très bonne;20.8;44.8;Électricité;1575.9;0;5.8;69381.0;0.0;2144.0;;29.3162;inférieur à 400m;391.2;3851.5;1.0;14 Rue de Flesselles 69001 Lyon;108.8;2020.5;10/09/2024;0.0;9.7;6520690.59;;45.77105099565935,4.826497011018611;5.0;FAUX;3624.7;65.6;;254.8;2.5;VRAI;très bonne;83.3;69381_2785_00014;0.0;368.2;15.7;adresse géocodée ban à l'adresse;0.0;;0.0;8232.6;1062,9;368.2;moyen;3579.4;69001;124.5;individuel;jiF82G18k_EZQdmMvJays;391.2;;191.7;925818;;;79.0;appartement;0.0;;11/09/2024;;2469E3154308I;Électricité;individuel;FAUX;3579.4;3624.7;19.5;Très lourde;A;14;391.2;124.5;;245.6;15.0;20.1;insuffisante;D;254.8;;0.0;;;;69001;H1c;;;1674.6;DPE 3CL 2021 méthode logement;57.4;0.0;Rue de Flesselles;Lyon;108.8;183.0;1686.8;;5ème étage
2.45;5467 LOT 4;dpe appartement individuel;69.0;moyenne;1.0;;842237.92;24/08/2034;VRAI;2309.4;3815.8;;FAUX;25/08/2024;0.62;;660.2;0.0;84.0;0.0;27 Rue Neyret;0.0;02/04/2024;0.0;;1890.7;179080;très bonne;59.6;36.2;Électricité;9090.9;0;4.6;69381.0;0.0;2082.4;;29.3162;inférieur à 400m;345.0;3815.8;2.0;27 Rue Neyret 69001 Lyon;107.8;10906.8;28/07/2024;0.0;17.3;6520737.85;;45.771412968768914,4.830427962372833;23.0;VRAI;20909.0;231.9;;849.0;3.1;FAUX;insuffisante;67.2;69381_5035_00027;5.6;1890.7;18.4;adresse géocodée ban à l'adresse;0.0;;0.0;25539.7;958,6;1890.7;moyen;11104.2;69001;718.2;individuel;1nA2aZgBXmMsk0cFJhUDE;345.0;;154.7;571599;;;307.0;appartement;0.0;;26/08/2024;;2469E2945463V;Électricité;individuel;FAUX;11104.2;20909.0;14.0;Moyenne;C;27;345.0;718.2;;287.0;136.7;12.7;insuffisante;G;849.0;;0.0;;;;69001;H1c;;;1659.1;DPE 3CL 2021 méthode logement;59.7;0.0;Rue Neyret;Lyon;107.8;706.0;10762.9;;1ER étage
0.35;020724/71496;dpe appartement individuel;69.0;insuffisante;1.0;;842571.56;02/07/2034;VRAI;605.8;2012.5;;FAUX;03/07/2024;0.62;;103.5;0.0;84.0;5.0;17 Montée Saint Sebastien;0.0;02/04/2024;0.0;;362.4;179141;très bonne;19.1;15.6;Électricité;1413.4;0;2.0;69381.0;0.0;1165.5;;29.3162;inférieur à 400m;224.4;2012.5;1.0;17 Montée Saint Sébastien 69001 Lyon;56.9;1751.4;03/07/2024;0.0;1.9;6520925.22;;45.77303003955759,4.83477597467437;11.0;FAUX;3250.9;42.7;;173.4;2.3;FAUX;très bonne;29.0;69381_6560_00017;2.0;362.4;2.9;adresse géocodée ban à l'adresse;0.0;;0.0;5433.6;710,3;362.4;moyen;2362.4;69001;111.7;individuel;wrn6W3CwUD5imufH-zQ4f;224.4;;66.6;780819;;;151.0;appartement;0.0;;04/07/2024;;2469E2419318M;Électricité;individuel;VRAI;2362.4;3250.9;7.4;Légère;B;17;224.4;111.7;;45.0;11.8;2.9;insuffisante;E;173.4;;0.0;;;;69001;H1c;;;875.0;DPE 3CL 2021 méthode logement;11.5;0.0;Montée Saint Sébastien;Lyon;56.9;348.0;1609.5;;Étage 5
1.5;002EW239361;dpe appartement individuel;69.0;insuffisante;1.0;;842638.84;10/08/2034;FAUX;2900.5;4791.2;;FAUX;11/08/2024;0.97;;1483.4;0.0;84.0;0.0;41 Rue René Leynaud;0.0;02/04/2024;0.0;;2292.3;180768;très bonne;69.7;97.0;Électricité;11119.3;0;12.4;69381.0;0.0;2720.4;;29.3162;inférieur à 400m;429.4;4791.2;1.0;41 Rue René Leynaud 69001 Lyon;135.4;13513.7;11/08/2024;0.0;18.9;6520609.09;;45.7701700130502,4.835546945277436;11.0;FAUX;25574.3;251.3;;1067.5;3.2;FAUX;insuffisante;180.4;69381_5990_00041;7.6;2292.3;41.3;adresse non géocodée ban car aucune correspondance trouvée;0.0;;0.0;32263.8;1442,9;2292.3;insuffisant;14027.7;69001;878.4;individuel;qgpVXdk8lcMEtZEtdH4bj;429.4;800.0;414.9;509861;;;144.0;appartement;0.0;;12/08/2024;;2469E2872477R;Électricité;individuel;FAUX;14027.7;25574.3;37.2;Légère;C;41;429.4;878.4;;644.9;96.0;59.0;insuffisante;F;1067.5;;0.0;;;;69001;H1c;;;2083.1;DPE 3CL 2021 méthode logement;141.6;0.0;Rue René Leynaud;Lyon;135.4;332.0;11647.5;;Etage : 4
1.26;24/IMO/0040;dpe appartement individuel;69.0;moyenne;1.0;;842123.79;26/07/2034;VRAI;1542.3;4981.7;;FAUX;27/07/2024;0.62;;1284.6;0.0;84.0;0.0;22 Rue Bouteille;0.0;02/04/2024;0.0;;926.5;181923;très bonne;51.2;84.0;Électricité;4334.6;0;10.8;69381.0;0.0;2764.4;;29.3162;inférieur à 400m;463.0;4981.7;1.0;22 Rue Bouteille 69001 Lyon;140.8;5489.6;24/07/2024;0.0;26.9;6520477.06;;45.76908902547598,4.828882057474484;6.0;VRAI;9969.7;136.6;;529.7;2.5;VRAI;insuffisante;156.2;69381_1105_00022;0.0;926.5;35.7;adresse géocodée ban à l'adresse;0.0;;0.0;16595.2;1355,1;926.5;bon;7215.3;69001;342.4;individuel;bOfpTbZbuHQYmTIYAnirf;463.0;2228.0;359.3;533416;;;85.0;appartement;0.0;;28/07/2024;;2469E2723904I;Électricité;individuel;FAUX;7215.3;9969.7;33.4;Lourde;B;22;463.0;342.4;;558.5;38.3;20.2;insuffisante;D;529.7;;0.0;;;;69001;H1c;;;2165.9;DPE 3CL 2021 méthode logement;119.4;0.0;Rue Bouteille;Lyon;140.8;197.0;4613.6;;2
1.82;002EW221357;dpe appartement individuel;69.0;insuffisante;1.0;;842656.59;05/08/2034;FAUX;1702.1;3329.2;;FAUX;06/08/2024;0.96;;1180.0;0.0;84.0;0.0;5 Rue Saint Claude;0.0;02/04/2024;0.0;;1218.9;182932;très bonne;39.0;55.9;Électricité;6088.4;0;7.2;69381.0;0.0;2041.9;;29.3162;inférieur à 400m;289.8;3329.2;1.0;5 Rue Saint Claude 69001 Lyon;94.1;7543.4;01/08/2024;0.0;19.0;6520461.21;;45.76883501439212,4.835731045656211;11.0;FAUX;14003.3;155.2;;615.1;3.1;FAUX;insuffisante;104.0;69381_6290_00005;3.8;1218.9;32.8;adresse non géocodée ban car aucune correspondance trouvée;0.0;;0.0;18751.6;1165,3;1218.9;insuffisant;8152.9;69001;481.0;collectif;NxKlncwcQTawkHVErTbBn;289.8;3000.0;239.1;377805;;;145.0;appartement;0.0;;07/08/2024;;2469E2833650I;Électricité;collectif;FAUX;8152.9;14003.3;36.1;Légère;C;5;289.8;481.0;;513.0;15.6;77.8;moyenne;F;615.1;;0.0;;;;69001;H1c;;;1447.5;DPE 3CL 2021 méthode logement;157.3;0.0;Rue Saint Claude;Lyon;94.1;335.0;4934.0;;Etage : 1
